Curricular units 2nd sem (approved)_low,Curricular units 2nd sem (approved)_medium,Curricular units 2nd sem (approved)_high,Curricular units 2nd sem (grade)_low,Curricular units 2nd sem (grade)_medium,Curricular units 2nd sem (grade)_high,Curricular units 1st sem (approved)_low,Curricular units 1st sem (approved)_medium,Curricular units 1st sem (approved)_high,Curricular units 1st sem (grade)_low,Curricular units 1st sem (grade)_medium,Curricular units 1st sem (grade)_high,Curricular units 2nd sem (evaluations)_low,Curricular units 2nd sem (evaluations)_medium,Curricular units 2nd sem (evaluations)_high,Curricular units 1st sem (evaluations)_low,Curricular units 1st sem (evaluations)_medium,Curricular units 1st sem (evaluations)_high,Age at enrollment_low,Age at enrollment_medium,Age at enrollment_high,Course_low,Course_medium,Course_high,Curricular units 1st sem (enrolled)_low,Curricular units 1st sem (enrolled)_medium,Curricular units 1st sem (enrolled)_high,Application mode_low,Application mode_medium,Application mode_high,Previous qualification (grade)_low,Previous qualification (grade)_medium,Previous qualification (grade)_high,Curricular units 2nd sem (enrolled)_low,Curricular units 2nd sem (enrolled)_medium,Curricular units 2nd sem (enrolled)_high,Mother's occupation_low,Mother's occupation_medium,Mother's occupation_high,Tuition fees up to date_0,Tuition fees up to date_1,Scholarship holder_0,Scholarship holder_1
0.0,0.0,0.368421052631579,0.0,0.8882681564245813,0.0,0.0,0.0,0.2592592592592593,0.0,0.9632048569588814,0.0,0.0,0.24242424242424238,0.18085106382978727,0.0,0.3333333333333333,0.15492957746478875,0.0,0.9285714285714286,0.0,0.0,1.0,0.0,0.0,0.0,0.27272727272727276,0.0,0.0,0.44680851063829785,0.25839188134270114,0.07092198581560287,0.0,0.0,0.04761904761904746,0.24615384615384617,0.9411764705882353,0.0,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2692307692307693,0.06250000000000006,0.0,0.2692307692307693,0.06250000000000006,0.0,0.0,0.0,0.4594594594594595,0.0,0.9449933788326372,0.0,0.04761904761904766,0.5,0.0,0.0,0.14062500000000006,0.2340425531914893,0.0,1.0,0.0,0.04761904761904766,0.5,0.0,0.0,0.0,0.5497311827956989,1.0,0.0,1.0,0.0
0.0,0.7058823529411765,0.0,0.0628860190903987,0.5251396648044693,0.0,0.0,0.6153846153846154,0.0,0.0,0.8380681818181818,0.0,0.0,0.0,0.28723404255319157,0.0,0.4444444444444444,0.11971830985915495,0.0,0.9285714285714286,0.0,0.01548362256263584,0.8803096669043495,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5917159763313607,0.0333494441759303,0.0,1.0,0.0,0.0,0.9024390243902439,0.00537634408602151,0.0,1.0,1.0,0.0
0.0,0.736842105263158,0.017543859649122823,0.0,0.7096069868995629,0.0,0.0,0.8,0.01234567901234569,0.0,0.0,0.28647261019014025,0.07692307692307698,0.37500000000000006,0.0,0.07692307692307698,0.37500000000000006,0.0,0.666666666666666,0.0,0.0,0.006270454607959127,0.914434144850769,0.0,0.0,1.0,0.0,0.0,0.9375,0.0,0.06323185011709619,0.4255319148936172,0.0,0.0,1.0,0.0,0.058823529411764754,0.44444444444444436,0.0,0.0,1.0,1.0,0.0
0.0,0.4736842105263159,0.10526315789473686,0.0,0.0,0.3678309616213883,0.0,0.6,0.07407407407407408,0.0,0.0,0.3368203827673868,0.0,1.0,0.0,0.0,1.0,0.0,0.11111111111111067,0.285714285714285,0.0,0.0,0.3530864197530864,0.018464528668611167,0.0,0.5833333333333334,0.07792207792207793,0.0,1.0,0.0,0.0,0.4733727810650886,0.08168197196713378,0.0,0.5238095238095237,0.09230769230769233,0.0,1.0,0.0,0.0,1.0,1.0,0.0
0.0,0.4117647058823529,0.0,0.0,0.8510242085661079,0.0,0.0,0.8,0.01234567901234569,0.09808031774051185,0.44744318181818166,0.0,0.0,0.3939393939393939,0.12765957446808515,0.0,0.6666666666666666,0.04929577464788734,0.0,0.9285714285714286,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.024199843871975192,0.4964539007092201,0.0,0.0,1.0,0.0,0.0,0.9024390243902439,0.00537634408602151,0.0,1.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.2692307692307693,0.06250000000000006,0.0,0.11111111111111067,0.285714285714285,0.0,0.0,0.0,0.4314868804664728,0.04761904761904766,0.5,0.0,0.0,0.0,0.0,0.0,0.9467455621301772,0.0,0.28571428571428575,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.07692307692307698,0.37500000000000006,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,0.0,0.0,0.0,0.8760932944606415,0.0,0.7916666666666667,0.012987012987013,0.0,0.9609375,0.0,0.3364558938329431,0.0,0.0,0.0,1.0,0.0,0.0,0.9024390243902439,0.00537634408602151,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7777777777777778,0.014084507042253534,0.11111111111111067,0.285714285714285,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.27272727272727276,0.11764705882352938,0.0,0.11903425042111178,0.38547486033519546,0.0,0.0,1.0,0.0,0.007060900264783766,0.6818181818181815,0.0,0.0,0.09090909090909086,0.23404255319148942,0.0,0.8888888888888888,0.0,0.666666666666666,0.0,0.0,0.0,0.9604938271604938,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5917159763313607,0.0333494441759303,0.0,1.0,0.0,0.6470588235294118,0.0,0.0,1.0,0.0,1.0,0.0
