Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Tuition fees up to date,Curricular units 2nd sem (evaluations),Curricular units 1st sem (evaluations),Age at enrollment,Course,Curricular units 1st sem (enrolled),Application mode,Previous qualification (grade),Curricular units 2nd sem (enrolled),Mother's occupation,Scholarship holder,Target
10,11.8,10,12.4,1,13,14,21,9238,11,43,120.0,10,1,0,2
0,0.0,0,0.0,0,5,5,41,9130,5,39,133.1,5,90,0,0
4,10.5,4,11.75,1,15,13,21,9003,6,44,140.0,6,9,0,1
6,12.833333333333334,6,14.5,1,6,6,18,9070,6,16,125.0,6,4,0,2
7,14.731428571428571,7,14.731428571428571,1,8,8,19,9500,8,17,142.0,8,5,0,2
3,11.666666666666666,6,10.375,1,12,11,21,9238,6,17,126.0,6,9,0,1
0,0.0,0,0.0,0,4,5,19,9670,5,1,134.0,4,0,0,0
0,0.0,0,0.0,0,6,9,20,9853,7,18,118.0,6,9,0,0
0,0.0,0,0.0,1,0,10,19,9238,6,1,133.1,6,0,0,0
2,10.0,5,11.2,0,14,9,18,9254,6,17,140.0,6,2,0,0
7,11.69,7,11.69,1,8,8,18,9500,8,1,145.0,8,2,0,2
3,10.333333333333334,3,10.333333333333334,1,12,13,20,9254,6,17,136.0,6,7,0,1
7,12.744285714285716,7,12.744285714285716,1,8,8,20,9500,8,1,129.0,8,5,1,2
3,11.0,4,11.5,1,12,9,19,9238,6,1,117.0,6,9,0,0
5,12.0,4,12.0,1,6,7,18,9130,5,17,130.0,5,4,0,2
9,11.444444444444445,10,11.8,1,15,20,21,9003,12,53,130.0,12,9,0,1
8,13.22222222222222,5,13.976666666666668,1,9,10,20,9500,7,1,127.0,8,2,0,1
0,0.0,1,10.0,1,12,16,20,9254,6,17,107.0,6,5,0,0
5,11.8,3,10.333333333333334,1,10,11,19,9853,6,1,160.0,6,9,0,1
3,12.0,0,0.0,0,8,4,22,9773,4,43,121.0,5,9,0,0
1,10.0,1,11.0,1,11,13,25,9119,5,39,133.1,5,4,0,1
6,12.0,6,12.666666666666666,1,7,8,19,9853,6,5,124.0,6,3,1,2
2,12.5,3,12.0,1,6,8,21,9238,6,44,140.0,6,191,0,1
6,12.9,6,12.9,1,7,7,19,9500,7,1,139.0,7,9,1,2
3,11.0,4,11.75,1,10,10,22,9147,5,1,134.0,5,2,0,1
